INFO 2025-11-13 10:47:00,848 autoreload Watching for file changes with StatReloader
INFO 2025-11-13 10:53:09,014 basehttp "OPTIONS /api/v1/dashboard HTTP/1.1" 200 0
INFO 2025-11-13 10:53:09,022 basehttp "OPTIONS /api/v1/dashboard HTTP/1.1" 200 0
WARNING 2025-11-13 10:53:09,070 log Unauthorized: /api/v1/dashboard
WARNING 2025-11-13 10:53:09,071 basehttp "GET /api/v1/dashboard HTTP/1.1" 401 82
WARNING 2025-11-13 10:53:09,072 log Unauthorized: /api/v1/dashboard
WARNING 2025-11-13 10:53:09,074 basehttp "GET /api/v1/dashboard HTTP/1.1" 401 82
INFO 2025-11-13 10:58:21,648 basehttp "OPTIONS /api/v1/auth/login HTTP/1.1" 200 0
INFO 2025-11-13 10:58:21,939 basehttp "POST /api/v1/auth/login HTTP/1.1" 200 931
INFO 2025-11-13 10:58:22,377 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 10:58:22,423 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 10:58:32,272 basehttp "OPTIONS /api/v1/orders HTTP/1.1" 200 0
INFO 2025-11-13 10:58:32,272 basehttp "OPTIONS /api/v1/orders HTTP/1.1" 200 0
WARNING 2025-11-13 10:58:32,451 log Not Found: /api/v1/orders
WARNING 2025-11-13 10:58:32,452 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 10:58:32,455 log Not Found: /api/v1/orders
WARNING 2025-11-13 10:58:32,455 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 10:58:49,667 log Not Found: /api/v1/orders
WARNING 2025-11-13 10:58:49,667 basehttp "POST /api/v1/orders HTTP/1.1" 404 3356
WARNING 2025-11-13 10:58:52,784 log Not Found: /api/v1/orders
WARNING 2025-11-13 10:58:52,784 basehttp "POST /api/v1/orders HTTP/1.1" 404 3356
INFO 2025-11-13 11:19:33,125 autoreload F:\provabook django\provabook-3\backend_django\apps\orders\urls.py changed, reloading.
INFO 2025-11-13 11:19:33,636 autoreload Watching for file changes with StatReloader
WARNING 2025-11-13 11:20:16,997 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:20:16,997 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:20:28,222 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:20:28,222 basehttp "POST /api/v1/orders HTTP/1.1" 404 3356
INFO 2025-11-13 11:24:56,793 autoreload Watching for file changes with StatReloader
WARNING 2025-11-13 11:25:14,615 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:25:14,615 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
INFO 2025-11-13 11:25:35,731 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:25:35,776 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1744
INFO 2025-11-13 11:25:37,096 basehttp "OPTIONS /api/v1/samples HTTP/1.1" 200 0
INFO 2025-11-13 11:25:37,096 basehttp "OPTIONS /api/v1/samples HTTP/1.1" 200 0
WARNING 2025-11-13 11:25:37,105 log Not Found: /api/v1/orders
WARNING 2025-11-13 11:25:37,107 basehttp "GET /api/v1/orders HTTP/1.1" 404 3355
WARNING 2025-11-13 11:25:37,116 log Not Found: /api/v1/orders
